reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
IAmMadMiks#7474,IAmMadMiks,7474,20,Platinum 3,Platinum 3,Gold 3,12.4,Gold 3,Gold,11,9,0,55.0,288,315,171,441,0.914,1.457,185.15,516.0,109.74,-3.14,27.15,62.95,29,43,40.28,16.33,114.51,65.24,228.18,Omen,Split
Marcelini#4CHAN,Marcelini,4CHAN,20,Platinum 3,Platinum 3,Platinum 1,12.4,Gold 3,Gold,10,10,0,50.0,268,337,66,405,0.795,0.991,194.4,416.0,121.35,-15.71,24.4,58.45,52,63,45.22,28.4,73.83,52.68,152.62,Chamber,Breeze
Yukinoツ#2004,Yukinoツ,2004,20,Diamond 2,Diamond 2,Platinum 1,12.8,Platinum 1,Platinum,13,7,0,65.0,410,255,108,406,1.608,2.031,286.2,783.8,191.2,71.9,31.55,78.95,61,35,63.54,23.65,9.11,69.02,183.91,Jett,Split
Tintinela#Eltin,Tintinela,Eltin,20,Diamond 2,Diamond 2,Platinum 2,13.25,Platinum 1,Platinum,10,10,0,50.0,239,322,73,425,0.742,0.969,164.65,397.15,104.67,-20.59,32.25,60.65,45,66,40.54,26.12,52.0,51.97,221.75,Jett,Fracture
Alee2#4014,Alee2,4014,20,Diamond 2,Diamond 2,Platinum 3,13.75,Platinum 2,Platinum,12,7,1,60.0,340,349,108,456,0.974,1.284,222.55,570.5,135.34,16.81,25.45,63.75,61,66,48.03,27.85,79.39,46.18,193.34,Jett,Ascent
Pineapple#LAN1,Pineapple,LAN1,20,Diamond 2,Diamond 2,Platinum 1,13.8,Platinum 2,Platinum,8,12,0,40.0,293,321,129,419,0.913,1.315,198.65,509.25,117.75,2.46,26.1,64.65,39,29,57.35,16.23,77.8,51.07,205.17,Sova,Haven
奈々miyo#236,奈々miyo,236,20,Diamond 3,Diamond 3,Diamond 1,13.85,Platinum 2,Platinum,10,10,0,50.0,368,350,133,435,1.051,1.431,239.7,577.65,151.16,14.71,27.25,65.05,51,46,52.58,22.3,96.32,88.23,308.34,Sova,Lotus
Dean Winchester#xnzs,Dean Winchester,xnzs,20,Diamond 1,Diamond 1,Diamond 1,14.0,Platinum 2,Platinum,7,13,0,35.0,390,335,72,452,1.164,1.379,248.9,613.2,160.74,30.82,34.3,67.3,76,54,58.46,28.76,31.86,66.4,219.58,Jett,Split
Johnnyxdjaja11#JV1,Johnnyxdjaja11,JV1,20,Platinum 3,Platinum 3,Platinum 3,14.0,Platinum 2,Platinum,11,8,1,55.0,340,337,84,443,1.009,1.258,222.15,589.65,145.83,1.7,30.15,71.0,49,49,50.0,22.12,4.97,48.75,209.04,Chamber,Fracture
TimDrake#dcc,TimDrake,dcc,20,Diamond 3,Diamond 3,Diamond 1,14.2,Platinum 2,Platinum,10,10,0,50.0,304,281,165,408,1.082,1.669,198.45,541.85,133.15,48.97,35.6,59.35,33,49,40.24,20.1,134.31,93.11,238.06,Reyna,Breeze
Dexiny κ#KNR,Dexiny κ,KNR,20,Ascendant 2,Ascendant 2,Diamond 2,14.45,Platinum 2,Platinum,9,11,0,45.0,333,296,113,426,1.125,1.507,215.9,525.8,132.71,28.39,38.65,59.85,62,57,52.1,27.93,188.97,66.08,183.32,Chamber,Ascent
v16 sinpatente#007,v16 sinpatente,007,20,Diamond 2,Diamond 2,Platinum 1,14.55,Platinum 3,Platinum,9,11,0,45.0,270,309,111,417,0.874,1.233,181.7,478.0,105.22,-1.19,41.55,55.15,34,30,53.12,15.35,197.6,57.03,207.81,Fade,Pearl
RV Wolf#WAR,RV Wolf,WAR,20,Diamond 3,Diamond 3,Diamond 1,14.6,Platinum 3,Platinum,12,8,0,60.0,303,318,129,428,0.953,1.358,196.95,541.3,126.88,12.64,33.65,65.05,53,50,51.46,24.07,257.48,47.78,163.96,Chamber,Breeze
xSaso#1404,xSaso,1404,20,Diamond 2,Diamond 2,Diamond 1,14.7,Platinum 3,Platinum,12,8,0,60.0,288,295,128,425,0.976,1.41,198.35,548.55,129.68,4.1,17.55,69.2,35,27,56.45,14.59,5.18,58.95,238.41,Sage,Split
